Nr,Alter,Geschlecht,Beruf,Ausbildung,Beschreibung,Eindruck,Kauf
72,29,Frau,Angestellter,Lehre,"Super zum verfeinern, verzieren und wuerzen von gerichten",6,unsicher
73,45,Herr,Angestellter,Lehre,immer noch nichts,2,unsicher
74,33,Frau,Angestellter,Lehre,lecker - hauch von etwas besonderem,7,ja
75,36,Herr,Angestellter,Fachgebundene Hochschulreife,einfach lecker,6,wahrscheinlich
76,30,Frau,Angestellter,Lehre,Es schmeckt sehr gut,7,ja
77,32,Frau,Hausfrau/-mann,Lehre,sauer,2,nein
78,35,Frau,Angestellter,Realschule,"leckerrr, viele Verwendungsmöglichkeiten",6,wahrscheinlich
79,38,Herr,Selbständig,Abitur (Matura),rot,5,unsicher
80,34,Frau,Angestellter,Lehre,dunkle Glasflasche süßsaurer Geschmack ziemlich dolles rot,5,wahrscheinlich_nicht
81,28,Frau,Angestellter,Lehre,lecker und vielsietig einsetzbar,6,wahrscheinlich
82,25,Herr,Angestellter,Lehre,der Geschmack,6,wahrscheinlich
83,30,Herr,Arbeiter,Mittlere Reife,leicht saurer sirup,3,wahrscheinlich_nicht
84,43,Frau,Angestellter,Mittlere Reife,"ein Produkt, welches sehr vielseitig einsetzbar ist",6,ja
85,32,Frau,Angestellter,Lehre,"Dressing, Wild, Salat, lecker",6,wahrscheinlich
86,41,Frau,Beamter,Universität,Lecker dicke süß saure Soße,7,ja
87,26,Frau,Angestellter,Grund-/Haupt-/Volksschule,"Fruchtig, würzig und hat eine super Farbe",6,unsicher
88,26,Herr,Student,Universität,Leckere Salatidee!,6,unsicher
89,30,Herr,Beamter,Fachhochschule,Vielseitiges und vor allem leckeres Produkt zur täglichen Verwendung!,6,wahrscheinlich
90,26,Frau,Student,Abitur (Matura),"Schönes Produkt, aber zu selten die Möglichkeit, es zu benutzen.",5,wahrscheinlich_nicht
91,28,Frau,Angestellter,Lehre,Muss ich wieder haben,7,ja
92,45,Frau,Hausfrau/-mann,Mittlere Reife,"Ich habe ein neues interessantes Produkt kennengelernt, fruchtig, sauer und intensiv rot ",4,wahrscheinlich_nicht
93,31,Herr,Angestellter,Fachhochschule,Ich möchte andere Geschmacksrichtungen ,6,wahrscheinlich
94,30,Frau,Arbeiter,Lehre,"Vielseitig einsetzbar, ein Muss in jeder guten Küche. Perfekt für mich.",7,ja
95,24,Frau,Angestellter,Mittlere Reife,"ich finde das Produkt interessant, wobei mein Interesse am Anfang etwas mehr da war um zu probieren, da ich jetzt weiß was ich damit machen kann, kann ich es gezielter einsetzen. ",7,wahrscheinlich
96,41,Frau,Angestellter,Fachhochschule,"Eine super leckere Würzsauce, für alle Menügänge geeignet",6,wahrscheinlich
97,33,Frau,Hausfrau/-mann,Realschule,Das vielseitigste Produkt was ich kenne,6,ja
98,31,Frau,Angestellter,Fachgebundene Hochschulreife,Zeit das es auf den Markt kommt,6,wahrscheinlich
99,33,Frau,Angestellter,Fachhochschule,"Leckere Innovation, vielseitig anwendbar, für kreative Leute gedacht",7,wahrscheinlich
100,34,Frau,Angestellter,Realschule,"zu sauer, konsistens toll, farbe toll",5,nein
101,29,Frau,Arbeiter,Lehre,"sehr ergiebig, geschmacksverbessung bei getränken...",5,unsicher
102,41,Frau,Angestellter,Lehre,"Essen, Nachtisch .. ich bekomme Hunger ;-)",5,wahrscheinlich_nicht
103,43,Herr,Angestellter,Universität,Ein wirklich interessantes Produkt mit vielfältigen Einsatzmöglichkeiten für süßte und deftige Speisen,6,wahrscheinlich
104,28,Frau,Angestellter,Fachgebundene Hochschulreife,Schon allein der Prototyp war toll aufgemacht. Mir hat vor allem die Form der Flasche und auch die Farbe des Sirups gefallen. ,6,wahrscheinlich
105,43,Frau,Angestellter,Lehre,Leider für mich nicht sooo interessant und schmackhaft gewesen,4,nein
106,29,Frau,Angestellter,Mittlere Reife,frischer geschmack super kombinierbar zu vielen süßen sachen,6,wahrscheinlich
107,29,Frau,Hausfrau/-mann,Mittlere Reife,"es macht Spass damit zu experemtieren wie man es verwenden kann
",6,ja
108,29,Frau,Angestellter,Berufsakademie,"anders und neu
eine Herausforderung",6,wahrscheinlich_nicht
109,27,Frau,Selbständig,Abitur (Matura),"interessant, anders, sauer, rot!",4,wahrscheinlich_nicht
110,36,Frau,Angestellter,Lehre,vielseitig einsetzbar,5,unsicher
111,26,Frau,Angestellter,Mittlere Reife,"Super Produkt, was ich mir im Laden sofort wieder kaufen würde.",6,ja
112,31,Frau,Angestellter,Universität,"bitte möglichst schnell auf den Markt bringen!
",7,ja
113,28,Frau,Angestellter,Lehre,"Tolle Farbe, lecker  im geschmack und sehr vielseitig",6,ja
114,26,Frau,Angestellter,Lehre,"schmeckt fruchtig, vielseitig verwendbar",6,wahrscheinlich
115,45,Frau,Angestellter,Sonstige,"Es hat Spaß gemacht, ihn zu testen",7,wahrscheinlich
116,38,Frau,Hausfrau/-mann,Mittlere Reife,Das es für mich icht so toll war,3,wahrscheinlich_nicht
117,38,Frau,Angestellter,Abitur (Matura),sehr lecker und überraschend,7,wahrscheinlich
118,36,Frau,Hausfrau/-mann,Grund-/Haupt-/Volksschule,vielseitig und ne tolle farbe,7,ja
119,38,Frau,Angestellter,Lehre,lecker und vielseitig,7,ja
120,39,Frau,Hausfrau/-mann,Mittlere Reife,"Absolut gute frage, mir persönlich etwas zu sauer, vielfältig einsetzbar",6,unsicher
121,27,Frau,Hausfrau/-mann,noch keine,Fruchtig frisch,6,unsicher
122,39,Herr,Selbständig,Abitur (Matura),"Schmackhaft, sauer, dickflüssig.",5,wahrscheinlich
123,33,Frau,Arbeiter,Realschule,Sauer,3,nein
124,40,Frau,Angestellter,Mittlere Reife,"neues Produkt, kannte ich vorher nicht, würde es das Produkt noch in weiteren Geschmacksrichtungen geben?",7,wahrscheinlich_nicht
125,31,Frau,Angestellter,Abitur (Matura),"keine Sosse, dein Dip, nix für Süsses :-(",1,nein
126,42,Frau,Angestellter,Lehre,Getränkesirup,6,wahrscheinlich
127,27,Frau,Angestellter,Lehre,Tolle Farbe,6,ja
128,33,Frau,Hausfrau/-mann,Mittlere Reife,fruchtig frisch geheimnisvoll,6,unsicher
129,31,Frau,Hausfrau/-mann,Mittlere Reife,Sehr vielseitig ,6,wahrscheinlich
130,43,Frau,Angestellter,Fachgebundene Hochschulreife,"fruchtige, leicht saure Sauce zum verfeinern von süßspeisen, salaten oder käse",7,wahrscheinlich
131,44,Herr,Angestellter,Mittlere Reife,ein leckeres Erlebnis und ein geschmackvolles Projekt,7,ja
132,39,Frau,Hausfrau/-mann,noch keine,Sehr vielfälltig und super im Geschmack,7,ja
133,31,Frau,Angestellter,Mittlere Reife,Ich muss als erstes dazu sagen das ich mit meinem Sohn 2 Wochen im Krankenhaus lag und das Produkt nicht so testen konnte wie ich es gerne hätte. Aber ich finde die Farbe sehr ansprechend und der Geschmack ist mal was anderes.,7,unsicher
134,41,Frau,Hausfrau/-mann,Abitur (Matura),Gut zu herzhaften und süßen Gerichten.,5,wahrscheinlich_nicht
135,31,Frau,Angestellter,Abitur (Matura),"exotisch, fruchtig, lecker",5,unsicher
136,29,Frau,Selbständig,Realschule,"Leckeres ,neues zum experimentieren einladenes PRodukt",7,ja
137,32,Frau,Angestellter,Abitur (Matura),Ich muss ehrlich sagen: ich hatte es im Supermarkt nicht gekauft. Weil die Flasche so unschön ist und weil ich mir nichts drunter vorstellen konnte... Aber das Produkt hat mich überzeugt! Innovativ und vielseitig! Jetzt noch eine entsprechende Verpackung und es wird ein Erfolg!,4,unsicher
138,34,Frau,Hausfrau/-mann,Lehre,es ist super lecker.mag es gerne auf eis,7,ja
139,33,Frau,Angestellter,Realschule,erfrischend neu !,7,unsicher
140,41,Frau,Angestellter,Sonstige,ein vielfälliges Produkt das Spaß macht,7,ja
141,29,Frau,Angestellter,Realschule,"Fruchtig, süß-sauer, in Verbindung mit süßen Speißen ein Traum, und die Farbe ist auch richtig ansprechend, erinnert an roten Beeren",7,wahrscheinlich
142,28,Frau,Angestellter,Fachgebundene Hochschulreife,"Hat mich nicht ganz überzeugt
",3,wahrscheinlich_nicht
143,43,Frau,Arbeiter,Mittlere Reife,Gaumenfreude,7,ja
144,26,Frau,Student,Universität,Vielfältig einsetzbarer Sirup,5,nein
